,Участники гражданского оборота,Тип операции,Сумма операции,Вид расчета,Место оплаты,Терминал оплаты,Дата оплаты,Время оплаты,Результат операции,Cash-back,Сумма cash-back
2,юр. лицо,списание средств,4611.16,безналичный,Витебск,МаксБанк-WUBD-676,14-01-2007,23:14:42,недостаточно средств,да,371.25
13,юр. лицо,получение средств,1840.05,безналичный,Витебск,Приорбанк-LFCM-545,02-12-2001,23:46:34,успешно,нет,0.0
16,физ. лицо,получение средств,4200.28,безналичный,Брест,Беларусбанк-YANH-963,07-02-2016,23:51:12,успешно,нет,0.0
27,физ. лицо,получение средств,4970.21,наличный,Гродно,Приорбанк-CLOU-760,13-02-2021,23:45:49,успешно,нет,0.0
46,юр. лицо,получение средств,3583.33,безналичный,Могилев,Беларусбанк-XUBA-157,04-11-2023,23:20:38,успешно,нет,0.0
52,физ. лицо,получение средств,4968.63,безналичный,Могилев,Белинвестбанк-SKPY-520,19-09-2013,23:11:11,успешно,нет,0.0
112,юр. лицо,получение средств,4488.46,безналичный,Минск,Беларусбанк-XAFV-941,07-12-2002,23:41:36,успешно,нет,0.0
140,юр. лицо,получение средств,4968.19,безналичный,Брест,Приорбанк-HHVH-476,21-08-2002,23:01:13,успешно,нет,0.0
141,юр. лицо,списание средств,4153.41,безналичный,Могилев,Белинвестбанк-YAFK-575,13-11-2006,23:21:06,неправильный ввод пин-кода,да,283.13
158,юр. лицо,списание средств,2654.76,наличный,Гомель,БелАгропромбанк-RYRN-642,11-05-2010,23:07:46,недостаточно средств,нет,0.0
214,физ. лицо,списание средств,4223.27,наличный,Могилев,Беларусбанк-CGIF-911,03-12-2011,23:52:58,недостаточно средств,нет,0.0
250,юр. лицо,списание средств,3837.2,наличный,Брест,Беларусбанк-EDVU-390,13-04-2004,23:24:40,успешно,да,61.05
294,физ. лицо,списание средств,199.46,безналичный,Гродно,МаксБанк-EDCW-050,19-08-2014,23:58:16,недостаточно средств,нет,0.0
355,юр. лицо,получение средств,3512.63,наличный,Витебск,Белинвестбанк-AEQS-522,10-12-2016,23:21:44,успешно,нет,0.0
382,физ. лицо,получение средств,4186.33,наличный,Гродно,БелАгропромбанк-JQUL-008,03-03-2001,23:25:50,успешно,нет,0.0
436,юр. лицо,получение средств,254.41,наличный,Витебск,МаксБанк-IDOV-997,18-07-2021,23:18:39,успешно,нет,0.0
464,юр. лицо,получение средств,1925.73,наличный,Брест,Беларусбанк-YLAW-591,12-10-2013,23:03:34,успешно,нет,0.0
483,физ. лицо,списание средств,1968.74,безналичный,Витебск,Беларусбанк-BGBF-424,23-10-2022,23:04:48,неправильный ввод пин-кода,нет,0.0
497,физ. лицо,списание средств,2228.13,наличный,Могилев,Беларусбанк-SRLP-227,15-04-2005,23:32:30,успешно,нет,0.0
